Incoming Unit,ceed_unit,formula
ohmmillimeter,Ohm*m,x/1000
ω*km,Ohm*m,x*1000
ohmkilometer,Ohm*m,x*1000
ω*μm,Ohm*m,x/1e6
ohmmicrometer,Ohm*m,x/1e6
ω*nm,Ohm*m,x/1e9
ohmnanometer,Ohm*m,x/1e9
ω*pm,Ohm*m,x/1e12
ohmpicometer,Ohm*m,x/1e12
ω*fm,Ohm*m,x/1e15
ohmfemtometer,Ohm*m,x/1e15
ω*am,Ohm*m,x/1e18
ohmattometer,Ohm*m,x/1e18
ω*zm,Ohm*m,x/1e21
ohmzeptometer,Ohm*m,x/1e21
ω*ym,Ohm*m,x/1e24
ohmyoctometer,Ohm*m,x/1e24
kω*m,Ohm*m,x*1000
kiloohmmeter,Ohm*m,x*1000
mω*m,Ohm*m,x*1e6
megaohmmeter,Ohm*m,x*1e6
gω*m,Ohm*m,x*1e9
gigaohmmeter,Ohm*m,x*1e9
tω*m,Ohm*m,x*1e12
teraohmmeter,Ohm*m,x*1e12
pω*m,Ohm*m,x*1e15
petaohmmeter,Ohm*m,x*1e15
eω*m,Ohm*m,x*1e18
exaohmmeter,Ohm*m,x*1e18
zω*m,Ohm*m,x*1e21
zettaohmmeter,Ohm*m,x*1e21
yω*m,Ohm*m,x*1e24
yottaohmmeter,Ohm*m,x*1e24
mω*m,Ohm*m,x/1000
milliohmmeter,Ohm*m,x/1000
μω*m,Ohm*m,x/1e6
microohmmeter,Ohm*m,x/1e6
nω*m,Ohm*m,x/1e9
nanoohmmeter,Ohm*m,x/1e9
pω*m,Ohm*m,x/1e12
picoohmmeter,Ohm*m,x/1e12
fω*m,Ohm*m,x/1e15
femtoohmmeter,Ohm*m,x/1e15
aω*m,Ohm*m,x/1e18
attoohmmeter,Ohm*m,x/1e18
zω*m,Ohm*m,x/1e21
zeptoohmmeter,Ohm*m,x/1e21
yω*m,Ohm*m,x/1e24
yoctoohmmeter,Ohm*m,x/1e24
ohmmeter,Ohm*m,x
ohm*cm,Ohm*m,x/100
ohm*mm,Ohm*m,x/1000
ohm*km,Ohm*m,x*1000
ohm*μm,Ohm*m,x/1e6
ohm*nm,Ohm*m,x/1e9
ohm*pm,Ohm*m,x/1e12
ohm*fm,Ohm*m,x/1e15
ohm*am,Ohm*m,x/1e18
ohm*zm,Ohm*m,x/1e21
ohm*ym,Ohm*m,x/1e24
kohm*m,Ohm*m,x*1000
mohm*m,Ohm*m,x*1e6
gohm*m,Ohm*m,x*1e9
tohm*m,Ohm*m,x*1e12
pohm*m,Ohm*m,x*1e15
eohm*m,Ohm*m,x*1e18
zohm*m,Ohm*m,x*1e21
yohm*m,Ohm*m,x*1e24
mohm*m,Ohm*m,x/1000
μohm*m,Ohm*m,x/1e6
nohm*m,Ohm*m,x/1e9
pohm*m,Ohm*m,x/1e12
fohm*m,Ohm*m,x/1e15
aohm*m,Ohm*m,x/1e18
zohm*m,Ohm*m,x/1e21
yohm*m,Ohm*m,x/1e24
ohm-m,Ohm*m,x
ohm.m,Ohm*m,x
ohm m,Ohm*m,x
ohmm,Ohm*m,x
kg/m3,kg/m³,x
°k,°C,x - 273.15
degree k,°C,x - 273.15
deg k,°C,x - 273.15
deg f,°C,((x) - 32)*(5/9)
degree f,°C,((x) - 32)*(5/9)
deg c,°C,x
degree c,°C,x
°kelvin,°C,x - 273.15
degree kelvin,°C,x - 273.15
deg kelvin,°C,x - 273.15
deg fahrenheit,°C,((x) - 32)*(5/9)
degree fahrenheit,°C,((x) - 32)*(5/9)
deg celsius,°C,x
degree celsius,°C,x
°fahrenheit,°C,((x) - 32)*(5/9)
°celsius,°C,x

